object_id,object_system,object_code
AMI:SP:STRAS1,source,STRAS1
AMI:SP:STRAS2,amiens_rt,681
AMI:SP:STRAS2,source,STRAS2
AMI:SP:STSAU1,amiens_rt,682
AMI:SP:STSAU1,source,STSAU1
AMI:SP:STSAU2,amiens_rt,683
AMI:SP:STSAU2,source,STSAU2
AMI:SP:SULLYN1,amiens_rt,1118
AMI:SP:SULLYN1,source,SULLYN1
AMI:SP:SULLYN2,amiens_rt,1119
AMI:SP:SULLYN2,source,SULLYN2
AMI:SP:TAISNIL,source,TAISNIL
AMI:SP:TIVOL1,amiens_rt,692
AMI:SP:TIVOL1,source,TIVOL1
AMI:SP:TIVOL2,amiens_rt,693
AMI:SP:TIVOL2,source,TIVOL2
AMI:SP:VALLE1,amiens_rt,701
AMI:SP:VALLE1,source,VALLE1
AMI:SP:VALLE2,amiens_rt,702
AMI:SP:VALLE2,source,VALLE2
AMI:SP:VERBOU,amiens_rt,711
AMI:SP:VERBOU,source,VERBOU
AMI:SP:VERG1,amiens_rt,712
AMI:SP:VERG1,source,VERG1
AMI:SP:VERG2,amiens_rt,713
AMI:SP:VERG2,source,VERG2
AMI:SP:VERSSE,amiens_rt,714
AMI:SP:VERSSE,source,VERSSE
AMI:SP:VIGNA1,amiens_rt,717
AMI:SP:VIGNA1,source,VIGNA1
AMI:SP:VIGNA2,amiens_rt,718
AMI:SP:VIGNA2,source,VIGNA2
AMI:SP:VMAGN1,amiens_rt,719
AMI:SP:VMAGN1,source,VMAGN1
AMI:SP:VMAGN2,amiens_rt,720
AMI:SP:VMAGN2,source,VMAGN2
AMI:SP:8MAIN1,amiens_rt,3
AMI:SP:8MAIN1,source,8MAIN1
AMI:SP:8MAIN2,amiens_rt,4
AMI:SP:8MAIN2,source,8MAIN2
AMI:SP:ABEPE1,amiens_rt,9
AMI:SP:ABEPE1,source,ABEPE1
AMI:SP:ABEPE2,amiens_rt,10
AMI:SP:ABEPE2,source,ABEPE2
AMI:SP:ABHEN1,amiens_rt,11
AMI:SP:ABHEN1,source,ABHEN1
AMI:SP:ABHEN2,amiens_rt,12
AMI:SP:ABHEN2,source,ABHEN2
AMI:SP:ACOLA1,amiens_rt,17
AMI:SP:ACOLA1,source,ACOLA1
AMI:SP:ACOLA2,amiens_rt,18
AMI:SP:ACOLA2,source,ACOLA2
AMI:SP:ADAPEI,amiens_rt,732
AMI:SP:ADAPEI,source,ADAPEI
AMI:SP:AFPA1,amiens_rt,21
AMI:SP:AFPA1,source,AFPA1
AMI:SP:AFPA2,amiens_rt,22
AMI:SP:AFPA2,source,AFPA2
AMI:SP:AIGUI1,amiens_rt,936
AMI:SP:AIGUI1,source,AIGUI1
AMI:SP:ALBOU1,amiens_rt,27
AMI:SP:ALBOU1,source,ALBOU1
AMI:SP:ALBOU2,amiens_rt,28
AMI:SP:ALBOU2,source,ALBOU2
AMI:SP:ALENCO,amiens_rt,29
AMI:SP:ALENCO,source,ALENCO
AMI:SP:ALLIE1,amiens_rt,734
AMI:SP:ALLIE1,source,ALLIE1
AMI:SP:ALLIE2,amiens_rt,31
AMI:SP:ALLIE2,source,ALLIE2
AMI:SP:ALLONV,amiens_rt,32
AMI:SP:ALLONV,source,ALLONV
AMI:SP:ALMOU1,amiens_rt,33
AMI:SP:ALMOU1,source,ALMOU1
AMI:SP:ALMOU2,amiens_rt,34
AMI:SP:ALMOU2,source,ALMOU2
AMI:SP:ALORRN1,amiens_rt,15
AMI:SP:ALORRN1,source,ALORRN1
AMI:SP:ALORRN2,amiens_rt,16
AMI:SP:ALORRN2,source,ALORRN2
AMI:SP:AMAZON1,amiens_rt,962
AMI:SP:AMAZON1,source,AMAZON1
