stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
457,457,Mégacité,49.896706,2.263758,0
458,458,Mégacité,49.897057,2.26398,0
975,975,Mercey,49.881241,2.330323,0
976,976,Mercey,49.881824,2.32885,0
463,463,Martin du Gard,49.915539,2.294779,0
464,464,Martin du Gard,49.915478,2.295405,0
824,824,MGF Logistique,49.939793,2.281418,0
825,825,MGF Logistique,49.93903,2.281976,0
1071,1071,M. de Longueau,49.870224,2.358122,0
1072,1072,M. de Longueau,49.87051,2.357538,0
469,469,Mons,49.88266,2.319054,0
470,470,Mons,49.882145,2.318067,0
471,471,Moulin,49.937767,2.361488,0
472,472,Moulin,49.937542,2.361571,0
2089,2089,Moutiers,49.866493,2.247995,0
2090,2090,Moutiers,49.866413,2.24787,0
475,475,Marius Petit,49.886959,2.33941,0
476,476,Marius Petit,49.886852,2.339744,0
477,477,M. Poulainville,49.946312,2.313647,0
478,478,M. de Rivery,49.9025,2.322188,0
479,479,M. de Rivery,49.902512,2.32198,0
480,480,M. S. Amiénois,49.818264,2.318591,0
481,481,M. S. Amiénois,49.818459,2.319368,0
482,482,M.de Saleux,49.860451,2.239686,0
483,483,M.de Saleux,49.860786,2.239741,0
484,484,M.de Saloüel,49.871193,2.24361,0
485,485,M.de Saloüel,49.871033,2.243333,0
486,486,M. Saveuse,49.898411,2.216776,0
487,487,C. G. Mareschal,49.869766,2.327921,0
488,488,C. G. Mareschal,49.869595,2.326254,0
489,489,Montmignon,49.859333,2.346145,0
490,490,Montmignon,49.859951,2.344992,0
927,927,Musée,49.890385,2.295912,0
491,491,M. V. Selle,49.843369,2.230888,0
492,492,M. V. Selle,49.843063,2.230722,0
493,493,Numa Augaez,49.858677,2.241717,0
494,494,Numa Augaez,49.858261,2.241343,0
495,495,La Neuville,49.886368,2.332268,0
496,496,La Neuville,49.886208,2.332031,0
497,497,Omer Détourné,49.919235,2.364232,0
498,498,Ormaie,49.874767,2.316889,0
499,499,Ormaie,49.874989,2.316361,0
1073,1073,Otages,49.888435,2.302459,0
1074,1074,Otages,49.888741,2.30207,0
837,837,Ozenfant,49.933422,2.268518,0
838,838,Ozenfant,49.933132,2.268894,0
502,502,Paul Cornet,49.89967,2.219803,0
503,503,Pagès,49.886177,2.286647,0
504,504,Pagès,49.886295,2.286841,0
1075,1075,La Paix,49.91161,2.29741,0
1076,1076,La Paix,49.911678,2.297299,0
1077,1077,Place du Don,49.895584,2.305081,0
1078,1078,Place du Don,49.895737,2.304678,0
508,508,Pasteur,49.86673,2.24066,0
509,509,Pasteur,49.866596,2.240618,0
1079,1079,Pont de l'Avre,49.876331,2.345023,0
1080,1080,Pont de l'Avre,49.876526,2.344564,0
512,512,Paul Baroux,49.88065,2.416983,0
513,513,Paul Baroux,49.880703,2.416956,0
1081,1081,Hortillonnages,49.89756,2.311279,0
1082,1082,Hortillonnages,49.896446,2.310751,0
516,516,Parc de Berny,49.880638,2.284374,0
517,517,Parc de Berny,49.881203,2.284609,0
518,518,Petit Blangy,49.868793,2.420841,0
2018,2018,Place de Cagny,49.862465,2.340784,0
520,520,Place de Cagny,49.861767,2.341437,0
519,519,Place de Cagny,49.862118,2.341729,0
521,521,Place de Cagny,49.86227,2.341715,0
522,522,Petit Camon,49.919395,2.36775,0
